layer_name,num_parameters,zero_count,one_count,two_count,three_count,nonzero_count,zero_ratio,nonzero_ratio,one_ratio,two_ratio,three_ratio,sparsity
18_SNNConv/step1_lif,983040,644147,181874,102918,54101,338893,0.6552602132161458,0.34473978678385414,0.18501180013020832,0.104693603515625,0.05503438313802083,0.6552602132161458
7_downsampling2/step1_lif,245760,188332,32233,15995,9200,57428,0.7663248697916667,0.23367513020833333,0.13115641276041667,0.06508382161458333,0.037434895833333336,0.7663248697916667
20_SNNConv/step1_lif,491520,311689,97805,55173,26853,179831,0.6341328938802083,0.3658671061197917,0.19898478190104166,0.112249755859375,0.054632568359375,0.6341328938802083
5_downsampling2/step1_lif,491520,325908,80475,52673,32464,165612,0.6630615234375,0.3369384765625,0.163726806640625,0.10716349283854167,0.06604817708333334,0.6630615234375
3_downsampling2/step1_lif,983040,544957,198530,130100,109453,438083,0.5543589274088542,0.4456410725911458,0.20195515950520834,0.13234456380208334,0.11134134928385417,0.5543589274088542
14_SNNConv/step1_lif,491520,391351,62034,25866,12269,100169,0.7962056477864583,0.20379435221354167,0.12620849609375,0.05262451171875,0.024961344401041665,0.7962056477864583
10_SNNConv/step1_lif,122880,96515,18728,5984,1653,26365,0.7854410807291666,0.21455891927083334,0.15240885416666666,0.04869791666666667,0.0134521484375,0.7854410807291666
23_SNNConv/step1_lif,245760,175161,42073,19008,9518,70599,0.71273193359375,0.28726806640625,0.17119547526041667,0.07734375,0.03872884114583333,0.71273193359375
16_SNN-Block-1/step10-11_conv1/step10_lif,491520,296278,149673,42168,3401,195242,0.6027791341145833,0.39722086588541666,0.304510498046875,0.085791015625,0.006919352213541666,0.6027791341145833
16_SNN-Block-1/step12-13_conv2/step12_lif,1966080,1734319,203237,25856,2668,231761,0.8821202596028646,0.11787974039713542,0.10337168375651042,0.013151041666666667,0.0013570149739583334,0.8821202596028646
16_SNN-Block-1/step1-8_SepConv/step3_lif2,983040,700824,224808,50196,7212,282216,0.7129150390625,0.2870849609375,0.2286865234375,0.05106201171875,0.00733642578125,0.7129150390625
16_SNN-Block-1/step1-8_SepConv/step7_lif4,491520,282388,183085,24683,1364,209132,0.5745198567708333,0.42548014322916666,0.3724873860677083,0.050217692057291666,0.0027750651041666668,0.5745198567708333
16_SNN-Block-1/step1-8_SepConv/step1_lif1,491520,332716,136600,21360,844,158804,0.6769124348958333,0.32308756510416664,0.2779134114583333,0.04345703125,0.0017171223958333333,0.6769124348958333
16_SNN-Block-1/step1-8_SepConv/step5_lif3,983040,810904,142945,23134,6057,172136,0.8248942057291667,0.17510579427083334,0.14541117350260416,0.023533121744791666,0.0061614990234375,0.8248942057291667
9_SPPF/step1_cv1/lif,122880,99975,14116,5959,2830,22905,0.8135986328125,0.1864013671875,0.11487630208333334,0.04849446614583333,0.023030598958333332,0.8135986328125
9_SPPF/step6_cv2/lif,245760,76335,80203,52171,37051,169425,0.31060791015625,0.68939208984375,0.3263468424479167,0.21228434244791666,0.15076090494791666,0.31060791015625
19_SNN-Block-1/step10-11_conv1/step10_lif,491520,312100,115275,54592,9553,179420,0.6349690755208334,0.3650309244791667,0.234527587890625,0.11106770833333333,0.019435628255208334,0.6349690755208334
19_SNN-Block-1/step12-13_conv2/step12_lif,1966080,1734865,198942,28930,3343,231215,0.8823979695638021,0.11760203043619792,0.1011871337890625,0.014714558919270834,0.0017003377278645834,0.8823979695638021
19_SNN-Block-1/step1-8_SepConv/step3_lif2,983040,722369,199699,52483,8489,260671,0.7348317464192708,0.26516825358072915,0.20314432779947916,0.05338846842447917,0.008635457356770833,0.7348317464192708
19_SNN-Block-1/step1-8_SepConv/step7_lif4,491520,238859,179454,60435,12772,252661,0.48595987955729164,0.5140401204427083,0.36510009765625,0.122955322265625,0.025984700520833334,0.48595987955729164
