Layer name,In channels,kernel_size,index_channel,input_sparsity,weight_sparsity,Level(128->32) skip counts,Level(128->32) skip rate,Level(32->16) skip counts,Level(32->16) skip rate,Level(16->8) skip counts,Level(16->8) skip rate,Level(8->4) skip counts,Level(8->4) skip rate,Level(4->2) skip counts,Level(4->2) skip rate,Level(2->1) skip counts,Level(2->1) skip rate,compute count,weights_update_time
10/conv,256,1,104,0.7468912760416667,0.51171875,5421,0.3529296875,2619,0.341015625,565,0.14713541666666666,75,0.0390625,12,0.0125,0,0.0,480,2
12/Conv/pwconv1,128,1,236,0.7555013020833333,0.4453125,9468,0.308203125,5084,0.33098958333333334,1412,0.18385416666666668,216,0.05625,48,0.025,4,0.004166666666666667,960,1
12/Conv/pwconv3,256,1,106,0.6956136067708333,0.44140625,16078,0.26168619791666664,7319,0.23824869791666667,1825,0.11881510416666667,456,0.059375,112,0.029166666666666667,14,0.007291666666666667,1920,2
12/conv1/conv1,128,1,28,0.6029459635416666,0.40625,4439,0.14449869791666667,2338,0.15221354166666667,389,0.05065104166666667,84,0.021875,16,0.008333333333333333,0,0.0,960,1
12/conv1/conv3,128,1,239,0.733251953125,0.5078125,9528,0.31015625,4323,0.2814453125,943,0.12278645833333333,259,0.06744791666666666,50,0.026041666666666668,17,0.017708333333333333,960,1
12/conv2/conv1,256,1,18,0.7862141927083334,0.40625,26592,0.4328125,12997,0.42307942708333335,3745,0.24381510416666666,864,0.1125,187,0.04869791666666667,43,0.022395833333333334,1920,2
12/conv2/conv3,256,1,39,0.8523518880208333,0.5625,38519,0.6269368489583333,15880,0.5169270833333334,4744,0.30885416666666665,929,0.12096354166666666,221,0.05755208333333333,58,0.030208333333333334,1920,2
14/conv,384,1,115,0.6594319661458333,0.4557291666666667,19531,0.21192491319444445,10573,0.22944878472222222,1783,0.07738715277777777,279,0.02421875,62,0.010763888888888889,25,0.008680555555555556,2880,3
16/Conv/pwconv1,128,1,188,0.5514241536458333,0.4921875,10772,0.08766276041666667,8248,0.13424479166666667,732,0.023828125,144,0.009375,148,0.019270833333333334,4,0.0010416666666666667,3840,1
16/Conv/pwconv3,256,1,54,0.77744140625,0.47265625,91724,0.37322591145833334,47271,0.3846923828125,10700,0.17415364583333334,2134,0.06946614583333334,333,0.0216796875,91,0.011848958333333333,7680,2
