layer_name,num_parameters,zero_count,one_count,negative_one_count,nonzero_count,zero_ratio,nonzero_ratio,one_ratio,negative_one_ratio,sparsity
23/conv,294912,140956,77123,76833,153956,0.4779595269097222,0.5220404730902778,0.2615119086371528,0.260528564453125,0.4779595269097222
26/cv3/2/2/conv,10240,3469,2805,3966,6771,0.33876953125,0.66123046875,0.27392578125,0.3873046875,0.33876953125
26/cv3/2/1/conv,147456,73039,35733,38684,74417,0.4953274197048611,0.5046725802951388,0.24232991536458334,0.2623426649305556,0.4953274197048611
26/cv3/2/0/conv,294912,143118,74246,77548,151794,0.48529052734375,0.51470947265625,0.2517564561631944,0.2629530164930556,0.48529052734375
26/cv3/1/2/conv,10240,4255,2364,3621,5985,0.41552734375,0.58447265625,0.230859375,0.35361328125,0.41552734375
26/cv3/1/1/conv,147456,76899,33233,37324,70557,0.5215047200520834,0.4784952799479167,0.2253757052951389,0.2531195746527778,0.5215047200520834
26/cv3/1/0/conv,294912,158734,67079,69099,136178,0.5382419162326388,0.4617580837673611,0.2274542914496528,0.23430379231770834,0.5382419162326388
26/cv3/0/2/conv,10240,4087,2287,3866,6153,0.39912109375,0.60087890625,0.22333984375,0.3775390625,0.39912109375
26/cv3/0/1/conv,147456,75983,34482,36991,71473,0.5152926974826388,0.4847073025173611,0.23384602864583334,0.2508612738715278,0.5152926974826388
26/cv3/0/0/conv,147456,80811,32690,33955,66645,0.54803466796875,0.45196533203125,0.22169325086805555,0.23027208116319445,0.54803466796875
26/cv2/2/2/conv,4096,2930,496,670,1166,0.71533203125,0.28466796875,0.12109375,0.16357421875,0.71533203125
26/cv2/2/1/conv,36864,27623,4630,4611,9241,0.7493218315972222,0.2506781684027778,0.12559678819444445,0.12508138020833334,0.7493218315972222
26/cv2/2/0/conv,147456,84524,30328,32604,62932,0.5732150607638888,0.4267849392361111,0.20567491319444445,0.22111002604166666,0.5732150607638888
26/cv2/1/2/conv,4096,2960,481,655,1136,0.72265625,0.27734375,0.117431640625,0.159912109375,0.72265625
26/cv2/1/1/conv,36864,27204,4916,4744,9660,0.7379557291666666,0.2620442708333333,0.1333550347222222,0.1286892361111111,0.7379557291666666
26/cv2/1/0/conv,147456,92718,25756,28982,54738,0.6287841796875,0.3712158203125,0.17466905381944445,0.19654676649305555,0.6287841796875
26/cv2/0/2/conv,4096,2582,560,954,1514,0.63037109375,0.36962890625,0.13671875,0.23291015625,0.63037109375
26/cv2/0/1/conv,36864,25320,6105,5439,11544,0.6868489583333334,0.3131510416666667,0.16560872395833334,0.14754231770833334,0.6868489583333334
26/cv2/0/0/conv,73728,45547,12798,15383,28181,0.6177707248263888,0.3822292751736111,0.173583984375,0.2086452907986111,0.6177707248263888
